詞彙,出現次數
第四,2
真實,2
一節,2
考上,2
八個,2
經上,2
國定,2
放掉,2
自控力,2
校外,2
更累,2
三年,2
確確,2
實實,2
體驗,2
無用,2
用來,2
我要,2
考到,2
分科,2
門檻,2
晚放學,2
習功,2
不住,2
即便,2
過於緊,2
傳達,2
需實習,2
受到,2
延誤,2
過往,2
應試導,2
方立場,2
生連,2
支持者,2
方應,2
實證,2
舒服,2
並加強,2
有利於,2
原則,2
無效,2
遊戲,2
程太,2
每學期,2
四年,2
人力,2
數位,2
法律,2
維護,2
致學習,2
課才,2
不大,2
廁所,2
一路,2
沒寫,2
越大,2
交互,2
可用,2
雙薪,2
疑慮,2
讀書到,2
還不,2
抑或,2
經營,2
還要換,2
最少,2
女生,2
吹頭,2
寫功,2
點睡,2
打哈欠,2
發掘,2
讓國,2
除此之外,2
接軌,2
不止,2
不堪,2
醫學,2
記憶,2
當學生,2
事半功倍,2
而導致,2
整合,2
負面,2
免疫力,2
肥胖,2
有益,2
課後時間,2
變短,2
相處,2
通車,2
糟糕,2
表藝,2
順利,2
兩者,2
自制力,2
點以,2
預期,2
決學生,2
這不僅會,2
溫習,2
可運用,2
再將,2
相較,2
設立,2
醒來,2
接著,2
制晚,2
7.20,2
朝會,2
課餘,2
命令,2
開放,2
並將國,2
良好,2
拓展,2
減少些,2
腦袋,2
沒意,2
升學為,2
充滿,2
思想,2
不亞,2
如今,2
型態,2
目光,2
做會,2
綁定,2
聚焦,2
將能,2
使學習,2
正向,2
既能,2
考卷,2
人要,2
天下,2
職業,2
短時間,2
高壓式,2
優異,2
倦怠,2
痛癢,2
兩三點,2
呼吸,2
要學生,2
硬要,2
拉長,2
比現,2
九小時,2
充分利用,2
偏晚,2
更高,2
至十點,2
守護,2
削弱,2
快樂,2
穩定,2
各縣,2
經費,2
少一點,2
多點,2
成人,2
之所以,2
當成,2
正處,2
運轉,2
既有,2
學校裡,2
面對,2
靈活,2
氛圍,2
補課,2
任務,2
人性,2
沒補習,2
因長,2
